Bracket Type=4,,,,,
File Name,Comment,Path,Instrument Method,Position,Inj Vol
2017_January_23_envtstress_oyster8,O15,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,2",3
2017_January_23_envtstress_blank31,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster9,O142,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:D,2",3
2017_January_23_envtstress_blank32,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster10,O119,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,8",3
2017_January_23_envtstress_blank33,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster11,O47,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,4",3
2017_January_23_envtstress_blank34,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster12,O127,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:D,1",3
2017_January_23_envtstress_blank35,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster13,37,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,3",3
2017_January_23_envtstress_blank36,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster14,O55,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,5",3
2017_January_23_envtstress_blank37,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster15,O15,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,2",3
2017_January_23_envtstress_blank38,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster16,O119,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,8",3
2017_January_23_envtstress_blank39,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster17,O107,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,7",3
2017_January_23_envtstress_blank40,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster18,O142,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:D,2",3
2017_January_23_envtstress_blank41,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster19,O07,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,1",3
2017_January_23_envtstress_blank42,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster20,O77,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,6",3
2017_January_23_envtstress_blank43,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster21,OBLNK,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:D,3",3
2017_January_23_envtstress_blank44,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_geoduck21,geoduckBlank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\geoduck_DIA_5_30%B_110min_OTMS2_AGC_2e3,"1:A,5",3
2017_January_23_envtstress_blank45,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster22,O107,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,7",3
2017_January_23_envtstress_blank46,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster23,O107,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:C,7",3
2017_January_23_envtstress_blank47,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster24,O107-2,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:D,4",3
2017_January_23_envtstress_blank48,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_oyster25,O107-2,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:D,4",3
2017_January_23_envtstress_blank49,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_blank50,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_envtstress_blank51,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_glacier1,1in20,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:B,1",3
2017_January_23_glacier2,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_glacier3,2in20,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:B,2",3
2017_January_23_glacier4,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_glacier5,gel full,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:B,3",3
2017_January_23_glacier6,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
2017_January_23_glacier7,gel NF,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\oyster_DIA_5_30%B_110min_OTMS2_AGC_2e3,"2:B,4",3
2017_January_23_glacier8,blank,C:\Xcalibur\Data\Collaborators\Roberts\Emma\data_377,C:\Xcalibur\Data\Collaborators\Roberts\Emma\methods\40min_Blank,"1:C,2",3
